==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Outlooks updates on LOM,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2026-02-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,377.11,404.4,609.56,641.4,569.8,520,606.9,950.5,1300,1521,1779.57,2082.0969,2436.0533729999997,,,,,,,,,,,,,,
,    Y/Y Growth %,,0.07236615311182404,0.5073194856577645,0.05223439858258422,-0.11163080760835675,-0.08739908739908733,0.16711538461538458,0.5661558741143516,0.17,0.17,0.17,0.17,0.17,CRECIMIENTO,0.17,,,,,,,,,,,,
,EBITDA,99.5,140.4,319.32,336.85,252.87,287,326.93,585.6,826.68835,899.6155,1149.66675,1391.55875,1565.802,,,,,,,,,,,,,,
,    EBITDA margin %,0.2638487443981862,0.3471810089020772,0.5238532712120219,0.5251792952915498,0.4437872937872938,0.551923076923077,0.5386884165430879,0.616096791162546,0.6359141153846154,0.5914631821170283,0.646036261568806,0.6683448546510972,0.6427617790950593,,,,,,,,,,,,,,
,Depreciation & Amortization Expense,58.9,81,100.2,96.2,101.3,84.4,89.2,99.3,116.181,135.93177,159.0401709,186.07699995299998,217.71008994501,,,,,,,,,,,,,,
,EBIT ,40.6,59.400000000000006,219.12,240.65000000000003,151.57,198,237.73000000000002,486.3,710.50735,763.68373,990.6265791000001,1205.4817500469999,1348.09191005499,,,,,,,,,,,,,,
,    EBIT margin %,0.10766089469915939,0.14688427299703266,0.35947240632587446,0.3751948861864672,0.266005616005616,0.38076923076923075,0.3917119789092108,0.5116254602840611,0.5465441153846153,0.5020931821170282,0.556666261568806,0.5789748546510971,0.5533917790950593,MARGEN EBIT,0.7,,,,,,,,,,,,
,Interest expense/ Income (introducir en negativo si es un ingreso) ,3.112,4.429,2.106,1.3679999999999999,-4.154,-21.3,-33.1,-22.3,0,1.5,1.5,1.5,1.5,,,, Eje X : Δ Precio Oro,(Δ EBITDA), Eje Y : Δ EBITDA,,,,,,,,
,,,,,,,,,,,,,,,,,,-0.4,-0.6104918032786885,228.09600000000006,,,,,,,,
,Pretax Income,37.488,54.971000000000004,217.014,239.28200000000004,155.724,219.3,270.83000000000004,508.6,710.50735,762.18373,989.1265791000001,1203.9817500469999,1346.59191005499,,,,-0.3,-0.4578688524590163,317.47200000000004,,,,,,,,
,Income Taxes,7.300000000000001,12.9,18.9,38.625,22.8,23.8,32.8,52.717,85.260882,91.46204759999999,118.695189492,144.47781000563998,161.5910292065988,,,,-0.2,-0.3052459016393442,406.84800000000007,,,,,,,,
,   tax rate,0.19472897994024757,0.23466918920885557,0.08709115540932842,0.1614204160781003,0.14641288433382138,0.10852713178294573,0.12110918288225082,0.10365119937082186,0.12,0.12,0.12,0.12,0.12,TAX RATE,0.12,,-0.1,-0.15262295081967203,496.22400000000005,,,,,,,,
,Consolidated Net Income,30.188,42.071000000000005,198.114,200.65700000000004,132.92399999999998,195.5,238.03000000000003,455.88300000000004,625.2464679999999,670.7216824,870.431389608,1059.5039400413598,1185.0008808483913,,,,0,0,585.6,,,,,,,,
,Minority Interest,0.58,0.94,1.14,0.28,,,,,0,0,0,0,0,,,,0.1,0.1479329747267759,672.22955,,,,,,,,
,Net Income,29.608,41.13100000000001,196.97400000000002,200.37700000000004,132.92399999999998,195.5,238.03000000000003,455.88300000000004,625.2464679999999,670.7216824,870.431389608,1059.5039400413598,1185.0008808483913,,,,0.2,0.2958659494535518,758.8591,,,,,,,,
,    Margen beneficio neto %,0.07851290074514067,0.10170870425321467,0.3231412822363673,0.31240567508575,0.23328185328185327,0.37596153846153846,0.39220629428241893,0.4796244082062073,0.4809588215384615,0.44097415016436553,0.4891245579595071,0.5088638958356644,0.486442905554677,,,,0.3,0.44379892418032796,845.4886500000001,,,,,,,,
,Net income per share ( EPS ),0.16535239584496816,0.22961536314408534,1.0800789603553216,1.0687913377426927,0.6953546767106088,1.054363067630245,1.3194567627494458,2.4549434571890147,3.3669707485191167,3.6118561249326873,4.687298813182553,5.705460097153257,6.381264840325209,,,,0.4,0.5917318989071039,932.1182,,,,,,,,
,Fully diluted shares  (millions),179.06,179.13,182.37,187.48,191.16,185.42,180.4,185.7,185.7,185.7,185.7,185.7,185.7,SHARES REPOURCHASE,0,,0.5,0.7396648736338798,1018.74775,,,,,,,,
,,,0.00039093041438620113,0.018087422542287776,0.028019959423150657,0.019628760401109488,-0.030027202343586572,-0.02707367058569724,0.02937915742793782,0,,,,,,-5.299999999999983,,1,1.4793297472677596,1451.8955,,,,,,,,
,,,0.3886424927242611,3.7038619087415503,-0.010450738350569755,-0.3494009053449003,0.5162953568068795,0.2514254370792952,0.8605713551942957,0.37150643476506007,0.07273166139660625,0.2977534683139982,0.21721706350515335,0.11844877216986327,,,,,,,,,,,,,,
