==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,(+) Deuda leases,758.4,672.7,562.1,578.5,645.8,699.6,714,697.9000000000001,1220,1515,1755,2115,2280,,,,,,,
,(+) Goodwill ,6.8,,,,,,,,0,0,0,0,0,,,,,,,
,(+) Equity,577.9,634.1,964.2,896.6,1012,1409,1611,2061,2225.88,2403.9504,2596.2664320000003,2803.9677465600003,3028.2851662848,,,,,,,
,Capital empleado con goodwill,514.0000000000001,404.70000000000005,903.5000000000001,238.30000000000018,-237.70000000000005,-320.4999999999999,-406.8000000000002,48.09999999999991,1105.716,1916.5732799999996,2663.6991424,3671.3950737919995,4310.906679695359,,,,,,,
,Capital empleado sin goodwill,507.2,404.70000000000005,903.5000000000001,238.30000000000007,-237.70000000000005,-320.4999999999999,-406.8000000000002,48.09999999999991,1105.716,1916.5732799999996,2663.6991424,3671.3950737919995,4310.906679695359,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,ROE ( net income / equity ),0.24813981657726253,0.1876675603217158,-0.4615225057042107,-0.5796341735445013,0.30434782608695654,0.2743080198722498,0.26790813159528243,0.1967006307617661,0.21067288667852713,0.20193726551096897,0.19431092957103718,0.19035225350794133,0.1893615938324919,,,,,,,
,ROCE sin goodwill (EBIT / Capital empleado),0.40319400630914826,0.4561403508771929,-0.37199778638627556,-1.6487620646244223,-1.6575515355490111,-1.3360374414976603,-1.1234021632251716,9.426195426195443,0.47502561236339175,0.2959776698963476,0.22999741800269766,0.18021907906839607,0.1657627796928189,,,,,,,
,ROCE con goodwill( EBIT / Capital empleado),0.39785992217898825,0.4561403508771929,-0.37199778638627556,-1.6487620646244217,-1.6575515355490111,-1.3360374414976603,-1.1234021632251716,9.426195426195443,0.47502561236339175,0.2959776698963476,0.22999741800269766,0.18021907906839607,0.1657627796928189,,,,,,,


==================================================
PÁGINA: 4. VALORACIÓN
==================================================
2026-07-17,,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,,,
,"Valuation  ( millons ,except EPS )",,,,,,,,,,,,,,,Cotización actual,,14.831900000000001,GBP
,Market cap,,,,,,,,2924.85068,2743.9015000000004,2647.8649475,2555.1896743375,2465.758035735688,2379.4565044849387,,,,,
